RP11-34P13.7
S100PBP
RNF19B
AK2
TRIM62
ZNF362
PHC2
ZSCAN20
SMIM12
DLGAP3
RP11-244H3.4
ZMYM6
ZMYM1
SFPQ
ZMYM4
KIAA0319L
NCDN
RP4-728D4.2
PSMB2
C1orf216
CLSPN
AGO4
AGO1
RP4-789D17.5
AGO3
ADPRHL2
TRAPPC3
MAP7D1
THRAP3
SH3D21
STK40
LSM10
OSCP1
MRPS15
CSF3R
LINC01137
ZC3H12A
MEAF6
SNIP1
GNL2
C1orf109
MANEAL
YRDC
C1orf122
MTF1
INPP5B
SF3A3
FHL3
UTP11L
POU3F1
RP11-329N22.1
RRAGC
RP5-864K19.4
MYCBP
AKIRIN1
NDUFS5
MACF1
RP11-69E11.4
PABPC4
HPCAL4
PPIE
TRIT1
MYCL
MFSD2A
CAP1
PPT1
RLF
RP1-39G22.7
ZMPSTE24
COL9A2
SMAP2
ZFP69B
ZFP69
RP11-656D10.3
EXO5
ZNF684
RIMS3
NFYC-AS1
NFYC
CITED4
CTPS1
SCMH1
HIVEP3
FOXJ3
PPCS
CCDC30
PPIH
YBX1
P3H1
C1orf50
SVBP
ERMAP
ZNF691
SLC2A1
SLC2A1-AS1
EBNA1BP2
CFAP57
TIE1
RP1-92O14.3
ELOVL1
MED8
SZT2
HYI
HYI-AS1
PTPRF
KDM4A
KDM4A-AS1
ST3GAL3
IPO13
DPH2
ATP6V0B
B4GALT2
CCDC24
SLC6A9
DMAP1
ERI3
RNF220
TMEM53
C1orf228
KIF2C
RP11-269F19.2
RPS8
BEST4
PLK3
BTBD19
PTCH2
EIF2B3
HECTD3
UROD
LINC01144
MUTYH
TOE1
TESK2
CCDC163P
MMACHC
PRDX1
AKR1A1
NASP
CCDC17
GPBP1L1
TMEM69
IPP
MAST2
POMGNT1
LRRC41
UQCRH
NSUN4
FAAH
MKNK1
MOB3C
ATPAF1
EFCAB14
STIL
CMPK1
FOXD2-AS1
SPATA6
BEND5
FAF1
CDKN2C
LINC01562
RNF11
RP11-296A18.6
TTC39A-AS1
EPS15
OSBPL9
NRDC
RAB3B
TXNDC12
KTI12
BTF3L4
ZFYVE9
CC2D1B
ORC1
PRPF38A
ZCCHC11
GPX7
FAM159A
COA7
ZYG11B
ECHDC2
SCP2
CPT2
RP5-1024G6.2
C1orf123
RP5-1024G6.7
MAGOH
LRP8
RP11-117D22.2
NDC1
YIPF1
HSPB11
LRRC42
TMEM59
TCEANC2
CYB5RL
MRPL37
SSBP3
SSBP3-AS1
TTC4
PARS2
TTC22
USP24
OMA1
MYSM1
JUN
RP4-794H19.1
LINC01358
FGGY
HOOK1
NFIA
TM2D1
RP11-430G17.3
INADL
L1TD1
USP1
DOCK7
ATG4C
RP11-335E6.2
ALG6
ITGB3BP
EFCAB7
PGM1
JAK1
RP4-535B20.4
LEPROT
LEPR
PDE4B
WDR78
MIER1
SLC35D1
SERBP1
GADD45A
WLS
LRRC7
LRRC40
SRSF11
ANKRD13C
HHLA3
CTH
ZRANB2
NEGR1
LRRIQ3
FPGT
FPGT-TNNI3K
CRYZ
TYW3
SLC44A5
ACADM
RABGGTB
MSH4
ST6GALNAC3
RP5-1102E8.3
PIGK
AK5
ZZZ3
USP33
FAM73A
NEXN
FUBP1
DNAJB4
RP11-386I14.4
IFI44L
IFI44
RP5-887A10.1
RP11-475O6.1
TTLL7
RP11-486G15.2
PRKACB
RPF1
GNG5
CTBS
SSX2IP
LPAR3
MCOLN2
SYDE2
C1orf52
BCL10
RP11-131L23.1
ZNHIT6
ODF2L
RP4-651E10.4
RP4-612B15.3
SH3GLB1
SEP15
HS2ST1
LMO4
PKN2
GTF2B
CCBL2
RBMXL1
GBP3
GBP1
GBP2
GBP4
GBP5
LRRC8B
FLJ27354
LRRC8C
RP5-943J3.2
LRRC8D
ZNF326
ZNF644
CDC7
TGFBR3
SETSIP
BTBD8
KIAA1107
GLMN
RPAP2
GFI1
EVI5
RPL5
FAM69A
MTF2
TMED5
CCDC18
DR1
FNBP1L
BCAR3
RP4-561L24.3
DNTTIP2
GCLM
ABCD3
CNN3
RP4-639F20.1
ALG14
TMEM56
RWDD3
PTBP2
DPYD
AGL
RP5-884G6.2
SLC35A3
MFSD14A
SASS6
TRMT13
DBT
RTCA-AS1
RTCA
CDC14A
EXTL2
SLC30A7
DPH5
RP11-421L21.2
RP11-421L21.3
RP4-575N6.4
S1PR1
RNPC3
AMY2B
PRMT6
VAV3
VAV3-AS1
RP11-356N1.2
SLC25A24
RP11-483I13.5
FAM102B
HENMT1
PRPF38B
STXBP3
RP11-475E11.9
GPSM2
CLCC1
WDR47
TAF13
RP5-1065J22.8
TMEM167B
SCARNA2
KIAA1324
SARS
CELSR2
SORT1
PSMA5
ATXN7L2
CYB561D1
AMIGO1
GPR61
GNAI3
AMPD2
GSTM4
GSTM2
GSTM1
AC000032.2
GSTM3
AHCYL1
STRIP1
RP4-773N10.4
KCNC4
RP5-1074L1.1
RBM15
SLC16A4
RP5-1074L1.4
LAMTOR5
RP11-284N8.3
KCNA3
CD53
RP11-96K19.2
LRIF1
RP11-96K19.5
DRAM2
CEPT1
RP5-1180E21.4
RP5-1180E21.5
DENND2D
CHI3L2
PIFO
OVGP1
WDR77
ATP5F1
C1orf162
RAP1A
FAM212B
DDX20
CTTNBP2NL
WNT2B
ST7L
CAPZA1
MOV10
RP11-426L16.3
RHOC
PPM1J
SLC16A1
SLC16A1-AS1
RP11-31F15.2
LRIG2
PHTF1
RSBN1
RP5-1073O3.2
PTPN22
AP4B1-AS1
AP4B1
DCLRE1B
HIPK1-AS1
HIPK1
TRIM33
BCAS2
NRAS
CSDE1
SIKE1
TSPAN2
ATP1A1
CD58
CD2
CD101
TTF2
RP11-188D8.1
MAN1A2
FAM46C
GDAP2
WDR3
WARS2
RP11-418J17.1
PHGDH
NOTCH2
SEC22B
AC253572.1
NBPF26
PPIAL4A
AC241377.2
LINC00623
FCGR1B
FAM72B
SRGAP2C
RP11-344P13.6
RP11-403I13.5
RP11-403I13.7
RP11-14N7.2
RP11-763B22.4
NBPF15
SRGAP2B
AC241585.2
CH17-373J23.1
RP11-89F3.2
NBPF20
GPR89A
CD160
RNF115
POLR3C
NUDT17
PIAS3
ANKRD35
ITGA10
PEX11B
RBM8A
RP11-315I20.1
LIX1L
ANKRD34A
POLR3GL
TXNIP
NBPF10
NOTCH2NL
CH17-353B19.1
NBPF12
PRKAB2
RP11-337C18.8
FMO5
CHD1L
BCL9
ACP6
GPR89B
XXyac-YX155B6.7
RP11-94I2.4
NBPF11
RP11-495P10.3
LINC01138
RP11-495P10.1
AC245100.1
PPIAL4G
NBPF14
PDE4DIP
NBPF9
CH17-189H20.1
RP11-326G21.1
NBPF19
LINC00869
RP11-353N4.6
FAM231D
FCGR1A
HIST2H2BF
HIST2H4A
HIST2H2AA3
HIST2H2BE
RP11-196G18.24
HIST2H4B
RP11-196G18.23
HIST2H2AC
HIST2H2AB
BOLA1
SF3B4
MTMR11
VPS45
PLEKHO1
ANP32E
APH1A
C1orf54
CIART
MRPS21
PRPF3
RPRD2
TARS2
ECM1
FALEC
ADAMTSL4
MCL1
ENSA
GOLPH3L
CTSS
CTSK
ARNT
SETDB1
CERS2
RP11-316M1.12
FAM63A
PRUNE
BNIPL
C1orf56
CDC42SE1
MLLT11
GABPB2
SEMA6C
TNFAIP8L2
SCNM1
LYSMD1
TMOD4
VPS72
PIP5K1A
PSMD4
RP11-126K1.2
ZNF687
PI4KB
RFX5
RP11-126K1.6
PSMB4
POGZ
SNX27
MRPL9
TDRKH
RP11-98D18.9
RORC
C2CD4D
THEM4
S100A10
S100A11
S100A9
S100A12
S100A8
S100A6
S100A5
S100A4
S100A2
S100A13
RP1-178F15.4
CHTOP
SNAPIN
ILF2
INTS3
SLC27A3
GATAD2B
DENND4B
CRTC2
SLC39A1
RP11-422P24.12
CREB3L4
JTB
RP11-422P24.11
RAB13
RPS27
TPM3
C1orf43
UBAP2L
HAX1
ATP8B2
RP11-350G8.5
IL6R
SHE
RP11-350G8.9
UBE2Q1
ADAR
KCNN3
PMVK
RP11-307C12.13
PBXIP1
PYGO2
RP11-307C12.12
SHC1
CKS1B
FLAD1
ZBTB7B
DCST2
RP11-307C12.11
ADAM15
EFNA4
EFNA3
SLC50A1
DPM3
KRTCAP2
TRIM46
RP11-263K19.4
THBS3
MTX1
GBA
FAM189B
SCAMP3
CLK2
HCN3
FDPS
RUSC1-AS1
RUSC1
ASH1L
ASH1L-AS1
MSTO1
YY1AP1
DAP3
GON4L
SYT11
RIT1
KIAA0907
ARHGEF2
RP11-336K24.12
SSR2
UBQLN4
LAMTOR2
MEX3A
LMNA
SEMA4A
SLC25A44
PMF1-BGLAP
PMF1
BGLAP
SMG5
TMEM79
GLMP
CCT3
TSACC
RP11-98G7.1
MEF2D
RP11-284F21.8
TTC24
APOA1BP
GPATCH4
AL365181.2
RP11-66D17.3
ISG20L2
RRNAD1
MRPL24
HDGF
PRCC
SH2D2A
NTRK1
ARHGEF11
ETV3
FCRL5
FCRL3
FCRL2
FCRL1
CD1D
RP11-404O13.5
CD1A
CD1C
MNDA
PYHIN1
IFI16
AIM2
FCER1A
DUSP23
FCRL6
VSIG8
CFAP45
TAGLN2
IGSF9
PIGM
IGSF8
RP11-536C5.7
PEA15
DCAF8
RP11-574F21.3
RP11-574F21.2
PEX19
COPA
NCSTN
SLAMF6
CD84
SLAMF1
RP11-404F10.2
CD48
SLAMF7
LY9
CD244
F11R
TSTD1
USF1
ARHGAP30
PFDN2
NIT1
DEDD
UFC1
RP11-297K8.2
USP21
PPOX
B4GALT3
ADAMTS4
NDUFS2
FCER1G
TOMM40L
NR1I3
MPZ
SDHC
FCGR2A
HSPA6
FCGR3A
FCGR2B
FCRLA
FCRLB
DUSP12
RP11-474I16.8
ATF6
SH2D1B
UHMK1
UAP1
HSD17B7
RGS5
RGS5.1
NUF2
PBX1
MGST3
ALDH9A1
RP11-466F5.10
TMCO1
RP11-466F5.8
UCK2
RP11-276E17.2
POGK
TADA1
GPA33
POU2F1
CD247
RP11-104L21.3
CREG1
RP3-455J7.4
RCSD1
MPZL1
MPC2
DCAF6
TIPRL
SFT2D2
TBX19
XCL2
ATP1B1
NME7
BLZF1
SLC19A2
F5
SELP
C1orf112
SELL
METTL18
SCYL3
KIFAP3
GORAB
RP1-79C4.4
FMO1
FMO4
PRRC2C
VAMP4
METTL13
DNM3
PIGC
SUCO
FASLG
TNFSF4
RP11-296O14.3
PRDX6
KLHL20
CENPL
DARS2
ZBTB37
RC3H1
RP11-160H22.3
RP11-160H22.5
RABGAP1L
CACYBP
MRPS14
KIAA0040
RFWD2
RASAL2
RP4-593C16.4
TEX35
C1orf220
RP5-1098D14.1
RP11-428K3.1
RALGPS2
FAM20B
TOR3A
ABL2
SOAT1
TOR1AIP2
RP11-533E19.7
TOR1AIP1
RP11-533E19.5
CEP350
QSOX1
ACBD6
XPR1
KIAA1614
STX6
MR1
IER5
GLUL
RGSL1
RNASEL
RGS16
NPL
DHX9
LAMC1
SMG7
NCF2
ARPC5
COLGALT2
TSEN15
C1orf21
EDEM3
FAM129A
RNF2
TRMT1L
SWT1
IVNS1ABP
TPR
C1orf27
PTGS2
LINC01037
RGS18
RGS1
RGS2
UCHL5
TROVE2
RP11-101E13.5
GLRX2
CDC73
B3GALT2
CFH
ZBTB41
DENND1B
NEK7
RP11-553K8.2
PTPRC
MIR181A1HG
ZNF281
DDX59
CAMSAP2
C1orf106
KIF21B
TMEM9
TNNT2
CSRP1
RP11-134G8.5
NAV1
IPO9-AS1
IPO9
TIMM17A
RNPEP
ARL8A
PTPN7
UBE2T
PPP1R12B
KDM5B
PCAT6
RABIF
KLHL12
ADIPOR1
CYB5R1
TMEM183A
CHIT1
LINC01353
LINC01136
BTG2
ATP2B4
LAX1
ZC3H11A
ZBED6
SNRPE
ETNK2
PPP1R15B
PIK3C2B
MDM4
RP11-430C7.4
LRRN2
RP11-430C7.5
RBBP5
DSTYK
NUAK2
KLHDC8A
RP11-576D8.4
CDK18
MFSD4
ELK4
SLC45A3
NUCKS1
RAB29
SLC41A1
C1orf186
FAM72A
SRGAP2
IKBKE
RP11-534L20.5
RASSF5
EIF2D
MAPKAPK2
IL10
IL24
FCMR
PIGR
PFKFB2
YOD1
C4BPB
CD55
CR2
CR1
CD46
C1orf132
LAMB3
RP1-28O10.1
G0S2
TRAF3IP3
C1orf74
DIEXF
HHAT
RCOR3
TRAF5
LINC00467
SLC30A1
LPGAT1
RP11-552D8.1
INTS7
PPP2R5A
RP11-384C4.7
TMEM206
NENF
RP11-61J19.5
ATF3
BATF3
NSL1
TATDN3
FLVCR1-AS1
FLVCR1
VASH2
ANGEL2
RPS6KC1
SMYD2
PTPN14
CENPF
KCTD3
GPATCH2
RRP15
TGFB2
LYPLAL1-AS1
LYPLAL1
RP11-392O17.2
EPRS
BPNT1
IARS2
RAB3GAP2
C1orf115
MARC2
HLX-AS1
HLX
DUSP10
RP11-378J18.9
TAF1A
TAF1A-AS1
MIA3
RP11-378J18.8
AIDA
BROX
FAM177B
RP11-452F19.3
DISP1
TLR5
SUSD4
CAPN2
TP53BP2
RP11-504P24.9
FBXO28
DEGS1
RP11-365O16.6
NVL
CNIH4
WDR26
CNIH3
DNAH14
LBR
ENAH
SRP9
EPHX1
RP11-285F7.2
TMEM63A
PYCR2
LEFTY2
SDE2
H3F3A
RP11-396C23.2
ACBD3
MIXL1
LIN9
PARP1
ITPKB
ITPKB-AS1
PSEN2
ADCK3
CTD-2090I13.1
ZNF678
SNAP47
JMJD4
ARF1
C1orf35
MRPL55
GUK1
IBA57-AS1
IBA57
C1orf145
OBSCN
RP5-1139B12.2
TRIM11
HIST3H2A
HIST3H2BB
RNF187
RHOU
RAB4A
CCSAP
NUP133
ABCB10
TAF5L
URB2
GALNT2
COG2
TTC13
ARV1
FAM89A
C1orf131
GNPAT
EXOC8
SPRTN
EGLN1
RP11-295G20.2
TSNAX
DISC1
SIPA1L2
MAP10
NTPCR
PCNXL2
RP5-862P8.2
SLC35F3
RP5-827C21.6
RP5-827C21.4
COA6
TARBP1
IRF2BP2
RP4-781K5.2
TOMM20
RBM34
ARID4B
GGPS1
TBCE
B3GALNT2
LYST
NID1
GPR137B
ERO1B
EDARADD
LGALS8
LGALS8-AS1
RP11-385F5.5
HEATR1
MTR
MTRNR2L11
RP11-544D21.2
CHRM3-AS2
GREM2
RGS7
FH
KMO
OPN3
CHML
WDR64
PLD5
CEP170
SDCCAG8
AKT3
ZBTB18
ADSS
C1orf101
DESI2
RP11-173A6.3
COX20
HNRNPU-AS1
RP11-11N7.5
HNRNPU
RP11-11N7.4
RP11-156E8.1
EFCAB2
SMYD3
TFB2M
CNST
SCCPDH
AHCTF1
ZNF670
ZNF669
ZNF124
RP11-488L18.10
RP11-488L18.8
ZNF496
NLRP3
TRIM58
OR2L8
RP11-407H12.8
XX-CR54.1
LYPD8
SH3BP5L
ZNF672
ZNF692
PGBD2
SH3YL1
ACP1
FAM150B
TMEM18
AC116614.1
SNTG2
PXDN
MYT1L
LINC01250
TSSC1
TRAPPC12
TRAPPC12-AS1
ADI1
AC142528.1
AC108488.4
RNASEH1
RNASEH1-AS1
RPS7
NRIR
CMPK2
RSAD2
RNF144A
AC092580.4
AC011747.4
ID2
RP11-434B12.1
KIDINS220
MBOAT2
ASAP2
ITGB1BP1
CPSF3
IAH1
ADAM17
RP11-214N9.1
YWHAQ
TAF1B
RP11-95D17.1
GRHL1
RP11-254F7.2
KLF11
RRM2
HPCAL1
ODC1
RP11-320M2.1
NOL10
RN7SL832P
ATP6V1C2
RP11-791G15.2
PDIA6
PQLC3
ROCK2
E2F6
LPIN1
MIR3681HG
TRIB2
NBAS
DDX1
FAM49A
SMC6
GEN1
RP11-111J6.2
RDH14
LINC01376
LINC00954
TTC32
RP11-79O8.1
WDR35
LAPTM4A
PUM2
RHOB
HS1BP3
GDF7
RP11-130L8.1
LDAH
ATAD2B
UBXN2A
MFSD2B
C2orf44
FKBP1B
SF3B6
FAM228B
TP53I3
ITSN2
NCOA1
PTRHD1
CENPO
ADCY3
DNAJC27
DNAJC27-AS1
EFR3B
POMC
DNMT3A
DTNB
ASXL2
KIF3C
RAB10
GAREM2
HADHA
HADHB
ADGRF3
EPT1
SLC35F6
MAPRE3
TMEM214
AGBL5
RP11-503P10.1
OST4
KHK
ABHD1
PREB
TCF23
SLC5A6
ATRAID
CAD
UCN
MPV17
GTF3C2
GTF3C2-AS1
AC074117.10
EIF2B4
SNX17
ZNF513
PPM1G
NRBP1
KRTCAP3
IFT172
FNDC4
ZNF512
CCDC121
GPN1
SUPT7L
SLC4A1AP
MRPL33
RBKS
BRE
FOSL2
PLB1
AC097724.3
PPP1CB
SPDYA
TRMT61B
WDR43
FAM179A
CLIP4
YPEL5
LBH
LCLAT1
EHD3
RP11-1057B6.1
MEMO1
DPY30
CTC-336P14.1
SPAST
RP11-563N4.1
SLC30A6
NLRC4
YIPF4
AL133245.2
BIRC6
TTC27
LTBP1
RASGRP3
FAM98A
CRIM1
FEZ2
STRN
HEATR5B
GPATCH11
EIF2AK2
CEBPZOS
CEBPZ
NDUFAF7
PRKD3
QPCT
AC006369.2
CDC42EP3
RMDN2
ATL2
HNRNPLL
GALM
SRSF7
GEMIN6
DHX57
MORN2
SOS1
MAP4K3
AC007246.3
THUMPD2
SLC8A1
AC083949.1
EML4
COX7A2L
MTA3
OXER1
HAAO
ZFP36L2
LINC01126
AC010883.5
THADA
PLEKHH2
DYNC2LI1
LRPPRC
RP11-559M23.1
PPM1B
SLC3A1
PREPL
CAMKMT
SRBD1
PRKCE
ATP6V1E2
RHOQ
RP11-417F21.1
PIGF
CRIPT
SOCS5
RP11-333I13.1
MCFD2
TTC7A
AC073283.7
CALM2
BCYRN1
MSH2
KCNK12
MSH6
FBXO11
AC079807.2
FOXN2
RP11-191L17.1
PPP1R21
STON1
ASB3
CHAC2
ERLEC1
PSME4
ACYP2
RP11-477N3.1
SPTBN1
EML6
RTN4
CLHC1
RPS27A
MTIF2
AC012358.8
CCDC88A
CFAP36
PPP4R3B
RP11-554J4.1
PNPT1
VRK2
FANCL
AC007381.3
MIR4432HG
BCL11A
PAPOLG
REL
PUS10
PEX13
KIAA1841
C2orf74
AHSA2
USP34
RP11-355B11.2
XPO1
FAM161A
CCT4
AC107081.5
COMMD1
B3GNT2
TMEM17
EHBP1
AC009501.4
WDPCP
MDH1
UGP2
VPS54
PELI1
AC074289.1
AC114752.3
RP11-568N6.1
AFTPH
AC008074.1
SERTAD2
AC007880.1
AC007386.2
SLC1A4
AC007386.4
CEP68
RAB1A
ACTR2
SPRED2
AC092669.3
MEIS1
ETAA1
C1D
WDR92
PNO1
PPP3R1
RP11-474G23.2
RP11-474G23.3
PLEK
FBXO48
APLF
ARHGAP25
GFPT1
NFU1
AAK1
ANXA4
GMCL1
SNRNP27
MXD1
PCBP1
AC016700.5
C2orf42
TIA1
PCYOX1
SNRPG
FAM136A
TGFA
ADD2
FIGLA
ATP6V1B1
AC007040.11
TEX261
NAGK
MCEE
MPHOSPH10
PAIP2B
ZNF638
EXOC6B
SFXN5
SMYD5
PRADC1
CCT7
FBXO41
ALMS1
TPRKB
DUSP11
STAMBP
DGUOK
TET3
BOLA3
BOLA3-AS1
MOB1A
RP11-287D1.2
MTHFD2
SLC4A5
DCTN1
C2orf81
WDR54
RTKN
INO80B
WBP1
MOGS
MRPL53
CCDC142
TTC31
PCGF1
AUP1
HTRA2
LOXL3
DOK1
SEMA4F
RP11-259N19.1
HK2
POLE4
EVA1A
MRPL19
GCFC2
SUCLG1
DNAH6
TRABD2A
TMSB10
KCMF1
TGOLN2
RETSAT
ELMOD3
CAPG
MAT2A
GGCX
VAMP8
VAMP5
RNF181
TMEM150A
USP39
C2orf68
GNLY
ST3GAL5
ST3GAL5-AS1
RP11-548P2.2
POLR1A
PTCD3
IMMT
RP11-301O19.1
MRPL35
KDM3A
CHMP3
RNF103
RMND5A
CD8A
CD8B
PLGLB1
AC133644.2
LINC00152
RP11-1399P15.1
KRCC1
THNSL2
EIF2AK3
AC062029.1
RPIA
IGKC
IGKV1-12
IGKV1-8
IGKV4-1
IGKV1-5
IGKV1-9
IGKV3-11
IGKV3-15
IGKV1-16
IGKV3-20
IGKV1-27
IGKV2D-29
MAL
MRPS5
ZNF514
ZNF2
AC092835.2
FAHD2A
RP11-440D17.3
LINC00342
ANKRD36C
GPAT2
DUSP2
STARD7
TMEM127
CIAO1
SNRNP200
AC021188.4
ITPRIPL1
ARID5A
KANSL3
LMAN2L
CNNM4
RP11-353K11.1
CNNM3
ANKRD23
ANKRD39
SEMA4C
FAHD2B
ANKRD36
RP11-734K23.9
AC159540.1
ANKRD36B
COX5B
ACTR1B
LINC01125
ZAP70
TMEM131
INPP4A
COA5
UNC50
MGAT4A
AC109826.1
TSGA10
C2orf15
RP11-111H13.1
LIPT1
RP11-38C17.1
MITD1
MRPL30
LYG2
LYG1
TXNDC9
EIF5B
REV1
AFF3
CHST10
PDCL3
RPL31
TBC1D8
CNOT11
RNF149
MAP4K4
IL18R1
IL18RAP
MFSD9
TMEM182
MRPS9
AC104655.3
TGFBRAP1
AC012360.4
RP11-332H14.2
C2orf49
FHL2
AC012360.6
NCK2
C2orf40
UXS1
SULT1C2
GCC2
LIMS1
RANBP2
CCDC138
EDAR
SH3RF3
SEPT10
SOWAHC
RGPD5
NPHP1
LINC00116
BUB1
BCL2L11
MIR4435-2HG
RP11-181E10.3
RP11-803D5.4
AC017002.1
ANAPC1
TMEM87B
FBLN7
ZC3H8
ZC3H6
TTL
POLR1B
CHCHD5
AC079922.3
SLC20A1
IL1B
IL1RN
PSD4
AC016683.5
PAX8
RP11-65I12.1
RP11-480C16.1
CBWD2
RABL2A
SLC35F5
AC104653.1
RP11-141B14.1
ACTR3
LINC01191
DDX18
AC009404.2
CCDC93
INSIG2
AC093901.1
MARCO
C2orf76
DBI
TMEM177
PTPN4
EPB41L5
TMEM185B
RALB
CLASP1
NIFK-AS1
NIFK
TSN
GYPC
BIN1
ERCC3
MAP3K2
PROC
IWS1
MYO7B
LIMS2
WDR33
SFT2D3
POLR2D
AMMECR1L
RP11-395A13.2
SAP130
UGGT1
HS6ST1
POTEF
SMPD4
MZT2B
CCDC115
IMP4
PTPN18
TISP43
FAM168B
PLEKHB2
POTEE
MZT2A
MGAT5
CCNT2-AS1
CCNT2
RAB3GAP1
ZRANB3
R3HDM1
UBXN4
MCM6
DARS
DARS-AS1
CXCR4
HNMT
AC097721.2
SPOPL
RP11-231E19.1
AC092620.3
KYNU
ARHGAP15
AC096558.1
GTDC1
ZEB2
ZEB2-AS1
ACVR2A
ORC4
MBD5
EPC2
KIF5C
LYPD6B
MMADHC
RBM43
NMI
TNFAIP6
RIF1
NEB
ARL5A
STAM2
FMNL2
PRPF40A
ARL6IP6
RPRM
NR4A2
GPD2
ERMN
CYTIP
ACVR1C
ACVR1
RP11-1152H14.1
PKP4
DAPL1
WDSUB1
BAZ2B
AC009506.1
